,wallet,num_transactions,unique_tokens,total_value_sent,total_value_received,avg_tx_value,first_tx,last_tx,active_days,raw_risk_score,risk_score,model_predicted_score
82,0xc22b8e78394ce52e0034609a67ae3c959daa84bc,0.6428571428571428,0.46666666666666673,3.75267525491973e-05,2.047555091113064e-27,6.3001695111170916e-27,2021-01-08 20:52:03+00:00,2021-08-09 18:50:44+00:00,0.08907563025210084,0.022823925853848168,23,22.33
83,0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,0.8571428571428571,0.31111111111111117,0.0008555838932142541,4.668289490979797e-26,1.08564800952923e-25,2020-07-22 12:10:14+00:00,2021-05-23 04:56:24+00:00,0.1277310924369748,0.03221360503191276,33,34.47
84,0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,0.02040816326530612,0.04444444444444444,2.3999120588596315e-21,6.158615834056115e-40,1.5395705427521162e-38,2020-11-22 05:26:20+00:00,2020-12-05 20:40:11+00:00,0.0054621848739495795,0.44527955430841065,445,457.08
85,0xcf0033bf27804640e5339e06443e208db5870dd2,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.156712220575798e-40,2.0531328481183709e-38,2020-11-09 00:27:09+00:00,2020-11-09 09:30:34+00:00,0.0,0.9032463938714282,903,903.0
86,0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.152411875847589e-40,2.0516993998756344e-38,2020-11-17 20:56:39+00:00,2020-11-17 21:21:17+00:00,0.0,0.9032463938714856,903,903.0
87,0xd1a3888fd8f490367c6104e10b4154427c02dd9c,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.161651295563043e-40,2.0547792064474526e-38,2020-11-01 06:53:57+00:00,2020-11-01 06:58:15+00:00,0.0,0.9032463938713625,903,903.0
88,0xd334d18fa6bada9a10f361bae42a019ce88a3c33,0.03061224489795918,0.04444444444444444,2.3999120588596315e-21,3.353649874615328e-43,0.0,2020-11-19 06:46:04+00:00,2020-11-19 08:23:33+00:00,0.0,0.7419905011139821,742,739.14
89,0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,0.02040816326530612,0.04444444444444444,1.779047449502331e-10,9.706935493472331e-33,4.853467746571606e-31,2020-12-11 08:17:48+00:00,2021-01-10 16:25:54+00:00,0.012605042016806723,0.41786604622425233,418,416.59
90,0xdde73df7bd4d704a89ad8421402701b3a460c6e9,0.10204081632653061,0.1111111111111111,5.8911228526509675e-15,3.8759811359659156e-29,3.229984306757602e-28,2018-09-15 11:14:21+00:00,2022-11-23 05:27:23+00:00,0.642436974789916,0.16835404440727864,169,162.95
91,0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.149355271911302e-40,2.0506805318968723e-38,2020-11-20 20:45:12+00:00,2020-11-20 20:51:29+00:00,0.0,0.9032463938715264,903,903.0
92,0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,0.05102040816326531,0.04444444444444444,2.3999120588596315e-21,1.694513279133553e-30,2.420733255903733e-29,2020-12-14 06:43:35+00:00,2021-05-03 07:20:30+00:00,0.05882352941176471,0.31205035957854804,312,315.78
93,0xebb8629e8a3ec86cf90cb7600264415640834483,0.02040816326530612,0.022222222222222223,1.869852441552611e-15,1.020228626304359e-37,5.101165115809449e-36,2021-11-22 18:41:32+00:00,2022-01-21 14:23:03+00:00,0.024789915966386557,0.470869019748404,471,470.55
94,0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,0.010204081632653062,0.04444444444444444,0.0,8.066832324262463e-32,2.6889441080920776e-30,2019-09-18 06:48:03+00:00,2021-07-18 17:46:12+00:00,0.2810924369747899,0.4528833360548204,453,447.83
95,0xf10fd8921019615a856c1e95c7cd3632de34edc4,0.4795918367346938,0.3777777777777778,3.5435326204880356e-06,1.954399971207286e-28,7.934370449315073e-28,2020-05-03 16:38:42+00:00,2024-02-17 14:17:11+00:00,0.5815126050420169,0.032479659127584846,33,35.08
96,0xf340b9f2098f80b86fbc5ede586c319473aa11f3,1.0,0.6444444444444445,0.00040642763061716195,1.0603232435786981e-27,2.3236048764943845e-26,2023-09-23 15:45:11+00:00,2025-06-08 01:57:35+00:00,0.26176470588235295,0.005664580906727258,6,7.45
97,0xf54f36bca969800fd7d63a68029561309938c09b,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.133106976237132e-40,2.0452644333388154e-38,2020-12-14 07:40:11+00:00,2020-12-14 07:49:21+00:00,0.0,0.9032463938717439,903,903.0
98,0xf60304b534f74977e159b2e159e135475c245526,0.2755102040816326,0.04444444444444444,8.108281161593327e-06,4.424084485016718e-28,3.0510927482873685e-27,2020-02-06 07:11:13+00:00,2020-03-21 15:53:16+00:00,0.018487394957983197,0.21699724718139063,217,207.35
99,0xf67e8e5805835465f7eba988259db882ab726800,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.131221497372459e-40,2.0446359403839245e-38,2020-12-10 21:15:48+00:00,2020-12-17 23:22:54+00:00,0.0029411764705882353,0.6022353256144035,602,635.47
100,0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.161926732470234e-40,2.0548710187498493e-38,2020-10-31 19:38:53+00:00,2020-10-31 19:42:17+00:00,0.0,0.9032463938713589,903,903.0
101,0xf80a8b9cfff0febf49914c269fb8aead4a22f847,0.05102040816326531,0.04444444444444444,3.199821367681233e-07,1.7459374341547689e-29,4.988344827432266e-28,2020-07-30 02:44:20+00:00,2021-02-28 20:15:06+00:00,0.08949579831932773,0.31019958729980496,310,309.33
102,0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.166897837989161e-40,2.0565280539228253e-38,2020-10-21 11:57:13+00:00,2020-10-21 18:51:46+00:00,0.0,0.9032463938712927,903,903.0
